t=,33280, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.044, ca=,0.0105, cr=,0.0457,  0.630288, 
t=,66561, actvstrat=,mBuy=,-0.047, mSel=,+0.064, b=,0.000, m=,0.018, ca=,0.0134, cr=,0.0437,  0.806778, 
t=,99841, actvstrat=,mBuy=,-0.046, mSel=,+0.090, b=,0.031, m=,0.032, ca=,0.0119, cr=,0.0481,  0.810436, 
t=,133121, actvstrat=,mBuy=,-0.030, mSel=,+0.078, b=,0.067, m=,0.000, ca=,0.0133, cr=,0.0514,  0.849660, 
t=,166401, actvstrat=,mBuy=,-0.030, mSel=,+0.078, b=,0.067, m=,0.000, ca=,0.0133, cr=,0.0514,  0.853527, 
t=,199682, actvstrat=,mBuy=,-0.076, mSel=,+0.085, b=,0.067, m=,0.003, ca=,0.0153, cr=,0.0541,  0.836043, 
t=,232962, actvstrat=,mBuy=,-0.043, mSel=,+0.076, b=,0.092, m=,0.013, ca=,0.0157, cr=,0.0556,  0.940267, 
t=,266242, actvstrat=,mBuy=,-0.043, mSel=,+0.076, b=,0.092, m=,0.013, ca=,0.0157, cr=,0.0556,  0.919304, 
t=,299523, actvstrat=,mBuy=,-0.073, mSel=,+0.095, b=,0.099, m=,0.000, ca=,0.0128, cr=,0.0532,  0.956635, 
t=,332803, actvstrat=,mBuy=,-0.051, mSel=,+0.077, b=,0.128, m=,0.017, ca=,0.0147, cr=,0.0548,  0.983794, 
t=,366083, actvstrat=,mBuy=,-0.087, mSel=,+0.094, b=,0.138, m=,0.026, ca=,0.0200, cr=,0.0546,  1.002606, 
t=,399364, actvstrat=,mBuy=,-0.038, mSel=,+0.092, b=,0.161, m=,0.000, ca=,0.0228, cr=,0.0541,  1.102795, 
t=,432644, actvstrat=,mBuy=,-0.059, mSel=,+0.133, b=,0.178, m=,0.025, ca=,0.0250, cr=,0.0530,  1.086446, 
t=,465924, actvstrat=,mBuy=,-0.056, mSel=,+0.162, b=,0.193, m=,0.017, ca=,0.0231, cr=,0.0458,  1.078003, 
t=,499205, actvstrat=,mBuy=,-0.071, mSel=,+0.205, b=,0.225, m=,0.021, ca=,0.0289, cr=,0.0403,  1.079949, 
t=,532485, actvstrat=,mBuy=,-0.066, mSel=,+0.220, b=,0.277, m=,0.000, ca=,0.0304, cr=,0.0412,  1.223456, 
t=,565766, actvstrat=,mBuy=,-0.032, mSel=,+0.158, b=,0.275, m=,0.008, ca=,0.0320, cr=,0.0410,  1.205297, 
t=,599046, actvstrat=,mBuy=,-0.070, mSel=,+0.147, b=,0.295, m=,0.000, ca=,0.0298, cr=,0.0423,  1.201199, 
t=,632327, actvstrat=,mBuy=,-0.082, mSel=,+0.167, b=,0.309, m=,0.003, ca=,0.0288, cr=,0.0440,  1.211501, 
t=,665611, actvstrat=,mBuy=,-0.088, mSel=,+0.191, b=,0.315, m=,0.002, ca=,0.0289, cr=,0.0409,  1.215216, 
t=,698891, actvstrat=,mBuy=,-0.111, mSel=,+0.218, b=,0.335, m=,0.010, ca=,0.0306, cr=,0.0364,  1.217677, 
t=,732172, actvstrat=,mBuy=,-0.135, mSel=,+0.226, b=,0.351, m=,0.009, ca=,0.0297, cr=,0.0345,  1.237373, 
t=,765452, actvstrat=,mBuy=,-0.116, mSel=,+0.249, b=,0.341, m=,0.002, ca=,0.0296, cr=,0.0369,  1.210211, 
t=,798732, actvstrat=,mBuy=,-0.147, mSel=,+0.254, b=,0.356, m=,0.010, ca=,0.0282, cr=,0.0390,  1.209481, 
t=,832013, actvstrat=,mBuy=,-0.144, mSel=,+0.286, b=,0.333, m=,0.009, ca=,0.0254, cr=,0.0410,  1.241609, 
t=,865294, actvstrat=,mBuy=,-0.122, mSel=,+0.344, b=,0.294, m=,0.000, ca=,0.0302, cr=,0.0380,  1.228641, 
t=,898575, actvstrat=,mBuy=,-0.122, mSel=,+0.344, b=,0.294, m=,0.000, ca=,0.0302, cr=,0.0380,  1.160541, 
t=,931855, actvstrat=,mBuy=,-0.140, mSel=,+0.366, b=,0.316, m=,0.024, ca=,0.0299, cr=,0.0365,  1.248099, 
t=,965136, actvstrat=,mBuy=,-0.152, mSel=,+0.357, b=,0.346, m=,0.020, ca=,0.0269, cr=,0.0378,  1.198218, 
t=,998416, actvstrat=,mBuy=,-0.169, mSel=,+0.352, b=,0.313, m=,0.007, ca=,0.0325, cr=,0.0381,  1.215990, 
t=,1031697, actvstrat=,mBuy=,-0.126, mSel=,+0.339, b=,0.311, m=,0.000, ca=,0.0340, cr=,0.0388,  1.206982, 
t=,1064977, actvstrat=,mBuy=,-0.138, mSel=,+0.320, b=,0.293, m=,0.011, ca=,0.0328, cr=,0.0379,  1.172656, 
t=,1098260, actvstrat=,mBuy=,-0.162, mSel=,+0.359, b=,0.295, m=,0.000, ca=,0.0356, cr=,0.0383,  1.216980, 
t=,1131541, actvstrat=,mBuy=,-0.217, mSel=,+0.375, b=,0.318, m=,0.017, ca=,0.0345, cr=,0.0394,  1.186892, 
t=,1164824, actvstrat=,mBuy=,-0.290, mSel=,+0.374, b=,0.308, m=,0.021, ca=,0.0328, cr=,0.0428,  1.186427, 
t=,1198104, actvstrat=,mBuy=,-0.290, mSel=,+0.374, b=,0.308, m=,0.021, ca=,0.0328, cr=,0.0428,  1.170337, 
t=,1231385, actvstrat=,mBuy=,-0.290, mSel=,+0.374, b=,0.308, m=,0.021, ca=,0.0328, cr=,0.0428,  1.205118, 
t=,1264665, actvstrat=,mBuy=,-0.256, mSel=,+0.397, b=,0.299, m=,0.024, ca=,0.0280, cr=,0.0421,  1.176258, 
t=,1297945, actvstrat=,mBuy=,-0.260, mSel=,+0.396, b=,0.347, m=,0.015, ca=,0.0280, cr=,0.0444,  1.278988, 
t=,1331226, actvstrat=,mBuy=,-0.243, mSel=,+0.406, b=,0.332, m=,0.000, ca=,0.0255, cr=,0.0438,  1.261681, 
