t=,40884, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.082, ca=,0.0340, cr=,0.0389,  0.427040, 
t=,81768, actvstrat=,mBuy=,-0.059, mSel=,+0.039, b=,0.001, m=,0.051, ca=,0.0347, cr=,0.0336,  1.143613, 
t=,122653, actvstrat=,mBuy=,-0.079, mSel=,+0.048, b=,0.000, m=,0.081, ca=,0.0364, cr=,0.0290,  0.888824, 
t=,163538, actvstrat=,mBuy=,-0.055, mSel=,+0.042, b=,0.033, m=,0.077, ca=,0.0385, cr=,0.0274,  0.541726, 
t=,204423, actvstrat=,mBuy=,-0.056, mSel=,+0.070, b=,0.055, m=,0.078, ca=,0.0415, cr=,0.0312,  0.559428, 
t=,245307, actvstrat=,mBuy=,-0.038, mSel=,+0.072, b=,0.114, m=,0.054, ca=,0.0407, cr=,0.0222,  0.706092, 
t=,286192, actvstrat=,mBuy=,-0.007, mSel=,+0.088, b=,0.098, m=,0.071, ca=,0.0460, cr=,0.0209,  0.697849, 
t=,327077, actvstrat=,mBuy=,-0.009, mSel=,+0.065, b=,0.131, m=,0.093, ca=,0.0475, cr=,0.0215,  0.676140, 
t=,367961, actvstrat=,mBuy=,+0.000, mSel=,+0.092, b=,0.186, m=,0.123, ca=,0.0477, cr=,0.0221,  0.702531, 
t=,408846, actvstrat=,mBuy=,-0.009, mSel=,+0.125, b=,0.176, m=,0.096, ca=,0.0473, cr=,0.0193,  0.791443, 
t=,449730, actvstrat=,mBuy=,-0.033, mSel=,+0.134, b=,0.210, m=,0.064, ca=,0.0476, cr=,0.0195,  0.818741, 
t=,490615, actvstrat=,mBuy=,-0.059, mSel=,+0.108, b=,0.209, m=,0.059, ca=,0.0480, cr=,0.0139,  0.788258, 
t=,531499, actvstrat=,mBuy=,-0.065, mSel=,+0.073, b=,0.218, m=,0.050, ca=,0.0510, cr=,0.0124,  0.823207, 
t=,572384, actvstrat=,mBuy=,-0.060, mSel=,+0.082, b=,0.213, m=,0.017, ca=,0.0471, cr=,0.0111,  0.803604, 
t=,613268, actvstrat=,mBuy=,-0.036, mSel=,+0.078, b=,0.233, m=,0.003, ca=,0.0439, cr=,0.0114,  0.906435, 
t=,654153, actvstrat=,mBuy=,-0.029, mSel=,+0.046, b=,0.215, m=,0.000, ca=,0.0420, cr=,0.0077,  0.877726, 
