t=,42456, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.078, ca=,0.0356, cr=,0.0408,  0.420646, 
t=,84913, actvstrat=,mBuy=,-0.063, mSel=,+0.038, b=,0.003, m=,0.061, ca=,0.0336, cr=,0.0416,  0.539027, 
t=,127372, actvstrat=,mBuy=,-0.040, mSel=,+0.027, b=,0.036, m=,0.058, ca=,0.0323, cr=,0.0423,  0.451951, 
t=,169829, actvstrat=,mBuy=,-0.033, mSel=,+0.034, b=,0.061, m=,0.069, ca=,0.0309, cr=,0.0367,  0.516432, 
t=,212288, actvstrat=,mBuy=,+0.000, mSel=,+0.036, b=,0.100, m=,0.018, ca=,0.0286, cr=,0.0409,  0.601851, 
t=,254745, actvstrat=,mBuy=,-0.020, mSel=,+0.014, b=,0.125, m=,0.000, ca=,0.0318, cr=,0.0386,  0.679665, 
t=,297201, actvstrat=,mBuy=,-0.018, mSel=,+0.028, b=,0.173, m=,0.018, ca=,0.0313, cr=,0.0418,  0.700189, 
t=,339657, actvstrat=,mBuy=,-0.030, mSel=,+0.000, b=,0.166, m=,0.013, ca=,0.0305, cr=,0.0429,  0.723102, 
t=,382115, actvstrat=,mBuy=,+0.000, mSel=,+0.030, b=,0.215, m=,0.000, ca=,0.0289, cr=,0.0425,  0.756966, 
t=,424572, actvstrat=,mBuy=,-0.011, mSel=,+0.006, b=,0.238, m=,0.004, ca=,0.0255, cr=,0.0460,  0.786883, 
t=,467028, actvstrat=,mBuy=,-0.026, mSel=,+0.009, b=,0.296, m=,0.000, ca=,0.0276, cr=,0.0479,  0.832407, 
t=,509485, actvstrat=,mBuy=,-0.033, mSel=,+0.000, b=,0.320, m=,0.009, ca=,0.0263, cr=,0.0445,  0.868105, 
t=,551944, actvstrat=,mBuy=,-0.044, mSel=,+0.001, b=,0.295, m=,0.000, ca=,0.0261, cr=,0.0430,  0.864649, 
t=,594401, actvstrat=,mBuy=,-0.039, mSel=,+0.000, b=,0.295, m=,0.037, ca=,0.0296, cr=,0.0452,  0.830766, 
t=,636857, actvstrat=,mBuy=,-0.061, mSel=,+0.000, b=,0.297, m=,0.048, ca=,0.0292, cr=,0.0484,  0.826004, 
t=,679314, actvstrat=,mBuy=,-0.080, mSel=,+0.017, b=,0.306, m=,0.018, ca=,0.0311, cr=,0.0495,  0.844540, 
