t=,31325, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.058, ca=,0.0457, cr=,0.0220,  1.219656, 
t=,62650, actvstrat=,mBuy=,-0.117, mSel=,+0.089, b=,0.037, m=,0.089, ca=,0.0477, cr=,0.0176,  1.317897, 
t=,93974, actvstrat=,mBuy=,-0.130, mSel=,+0.124, b=,0.057, m=,0.062, ca=,0.0453, cr=,0.0142,  1.245360, 
t=,125298, actvstrat=,mBuy=,-0.114, mSel=,+0.161, b=,0.044, m=,0.000, ca=,0.0443, cr=,0.0160,  1.270034, 
t=,156624, actvstrat=,mBuy=,-0.131, mSel=,+0.141, b=,0.003, m=,0.029, ca=,0.0448, cr=,0.0174,  2.044314, 
t=,187949, actvstrat=,mBuy=,-0.178, mSel=,+0.163, b=,0.000, m=,0.028, ca=,0.0379, cr=,0.0231,  1.235623, 
t=,219274, actvstrat=,mBuy=,-0.206, mSel=,+0.157, b=,0.005, m=,0.015, ca=,0.0392, cr=,0.0225,  1.455955, 
t=,250598, actvstrat=,mBuy=,-0.208, mSel=,+0.199, b=,0.000, m=,0.015, ca=,0.0407, cr=,0.0226,  2.354476, 
t=,281923, actvstrat=,mBuy=,-0.220, mSel=,+0.192, b=,0.032, m=,0.000, ca=,0.0461, cr=,0.0255,  1.233902, 
t=,313248, actvstrat=,mBuy=,-0.210, mSel=,+0.173, b=,0.035, m=,0.034, ca=,0.0428, cr=,0.0281,  1.321100, 
t=,344575, actvstrat=,mBuy=,-0.219, mSel=,+0.223, b=,0.014, m=,0.016, ca=,0.0395, cr=,0.0262,  1.276199, 
t=,375899, actvstrat=,mBuy=,-0.198, mSel=,+0.180, b=,0.003, m=,0.008, ca=,0.0406, cr=,0.0301,  1.873264, 
t=,407225, actvstrat=,mBuy=,-0.212, mSel=,+0.157, b=,0.000, m=,0.000, ca=,0.0394, cr=,0.0349,  1.424932, 
t=,438550, actvstrat=,mBuy=,-0.235, mSel=,+0.141, b=,0.000, m=,0.001, ca=,0.0380, cr=,0.0320,  1.442668, 
t=,469875, actvstrat=,mBuy=,-0.209, mSel=,+0.112, b=,0.001, m=,0.000, ca=,0.0365, cr=,0.0297,  2.380110, 
t=,501200, actvstrat=,mBuy=,-0.192, mSel=,+0.125, b=,0.000, m=,0.018, ca=,0.0413, cr=,0.0267,  1.988698, 
t=,532524, actvstrat=,mBuy=,-0.202, mSel=,+0.070, b=,0.065, m=,0.000, ca=,0.0475, cr=,0.0230,  1.223243, 
t=,563849, actvstrat=,mBuy=,-0.230, mSel=,+0.070, b=,0.067, m=,0.002, ca=,0.0484, cr=,0.0213,  1.253937, 
t=,595174, actvstrat=,mBuy=,-0.259, mSel=,+0.066, b=,0.077, m=,0.000, ca=,0.0540, cr=,0.0176,  1.336157, 
t=,626499, actvstrat=,mBuy=,-0.282, mSel=,+0.094, b=,0.098, m=,0.016, ca=,0.0517, cr=,0.0148,  1.308078, 
t=,657825, actvstrat=,mBuy=,-0.262, mSel=,+0.116, b=,0.147, m=,0.000, ca=,0.0539, cr=,0.0100,  1.326469, 
t=,689149, actvstrat=,mBuy=,-0.273, mSel=,+0.116, b=,0.132, m=,0.014, ca=,0.0507, cr=,0.0103,  1.353615, 
t=,720474, actvstrat=,mBuy=,-0.301, mSel=,+0.092, b=,0.111, m=,0.050, ca=,0.0524, cr=,0.0150,  1.305629, 
t=,751798, actvstrat=,mBuy=,-0.287, mSel=,+0.086, b=,0.170, m=,0.063, ca=,0.0551, cr=,0.0155,  1.335991, 
t=,783122, actvstrat=,mBuy=,-0.302, mSel=,+0.088, b=,0.176, m=,0.030, ca=,0.0564, cr=,0.0102,  1.388610, 
t=,814447, actvstrat=,mBuy=,-0.319, mSel=,+0.103, b=,0.181, m=,0.000, ca=,0.0574, cr=,0.0091,  1.421429, 
t=,845771, actvstrat=,mBuy=,-0.328, mSel=,+0.091, b=,0.215, m=,0.001, ca=,0.0548, cr=,0.0079,  1.468390, 
t=,877096, actvstrat=,mBuy=,-0.288, mSel=,+0.145, b=,0.220, m=,0.016, ca=,0.0558, cr=,0.0073,  1.490777, 
t=,908421, actvstrat=,mBuy=,-0.309, mSel=,+0.167, b=,0.236, m=,0.024, ca=,0.0524, cr=,0.0043,  1.511232, 
t=,939746, actvstrat=,mBuy=,-0.304, mSel=,+0.152, b=,0.246, m=,0.032, ca=,0.0544, cr=,0.0075,  1.478369, 
t=,971070, actvstrat=,mBuy=,-0.277, mSel=,+0.137, b=,0.255, m=,0.004, ca=,0.0510, cr=,0.0105,  1.515835, 
t=,1002395, actvstrat=,mBuy=,-0.259, mSel=,+0.131, b=,0.265, m=,0.000, ca=,0.0543, cr=,0.0135,  1.534200, 
t=,1033719, actvstrat=,mBuy=,-0.246, mSel=,+0.093, b=,0.257, m=,0.016, ca=,0.0557, cr=,0.0083,  1.476423, 
t=,1065043, actvstrat=,mBuy=,-0.239, mSel=,+0.077, b=,0.257, m=,0.011, ca=,0.0512, cr=,0.0065,  1.475827, 
t=,1096368, actvstrat=,mBuy=,-0.253, mSel=,+0.072, b=,0.259, m=,0.000, ca=,0.0527, cr=,0.0032,  1.505185, 
