t=,29424, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.091, ca=,0.0409, cr=,0.0451,  1.424594, 
t=,58849, actvstrat=,mBuy=,-0.047, mSel=,+0.000, b=,0.003, m=,0.070, ca=,0.0426, cr=,0.0502,  2.236025, 
t=,88273, actvstrat=,mBuy=,-0.039, mSel=,+0.032, b=,0.000, m=,0.031, ca=,0.0427, cr=,0.0503,  1.789780, 
t=,117699, actvstrat=,mBuy=,-0.089, mSel=,+0.011, b=,0.004, m=,0.038, ca=,0.0441, cr=,0.0475,  1.728913, 
t=,147123, actvstrat=,mBuy=,-0.084, mSel=,+0.000, b=,0.000, m=,0.000, ca=,0.0400, cr=,0.0467,  2.850954, 
t=,176548, actvstrat=,mBuy=,-0.074, mSel=,+0.024, b=,0.003, m=,0.026, ca=,0.0359, cr=,0.0473,  2.326803, 
t=,205972, actvstrat=,mBuy=,-0.071, mSel=,+0.058, b=,0.034, m=,0.037, ca=,0.0376, cr=,0.0471,  1.481048, 
t=,235397, actvstrat=,mBuy=,-0.058, mSel=,+0.056, b=,0.053, m=,0.012, ca=,0.0385, cr=,0.0499,  1.436118, 
t=,264823, actvstrat=,mBuy=,-0.027, mSel=,+0.028, b=,0.050, m=,0.044, ca=,0.0383, cr=,0.0491,  1.436985, 
t=,294247, actvstrat=,mBuy=,-0.051, mSel=,+0.009, b=,0.001, m=,0.030, ca=,0.0426, cr=,0.0458,  2.658740, 
t=,323672, actvstrat=,mBuy=,-0.027, mSel=,+0.000, b=,0.000, m=,0.000, ca=,0.0401, cr=,0.0459,  1.106172, 
t=,353100, actvstrat=,mBuy=,-0.004, mSel=,+0.040, b=,0.003, m=,0.052, ca=,0.0429, cr=,0.0459,  2.165329, 
t=,382525, actvstrat=,mBuy=,-0.018, mSel=,+0.013, b=,0.008, m=,0.036, ca=,0.0429, cr=,0.0454,  1.446517, 
t=,411949, actvstrat=,mBuy=,-0.028, mSel=,+0.014, b=,0.001, m=,0.042, ca=,0.0400, cr=,0.0461,  2.052994, 
t=,441374, actvstrat=,mBuy=,-0.030, mSel=,+0.056, b=,0.000, m=,0.026, ca=,0.0375, cr=,0.0506,  1.668751, 
t=,470799, actvstrat=,mBuy=,-0.062, mSel=,+0.074, b=,0.005, m=,0.069, ca=,0.0392, cr=,0.0464,  1.626165, 
t=,500224, actvstrat=,mBuy=,-0.058, mSel=,+0.108, b=,0.032, m=,0.102, ca=,0.0385, cr=,0.0497,  1.476633, 
t=,529649, actvstrat=,mBuy=,-0.055, mSel=,+0.072, b=,0.018, m=,0.117, ca=,0.0423, cr=,0.0482,  1.492734, 
t=,559073, actvstrat=,mBuy=,-0.036, mSel=,+0.036, b=,0.000, m=,0.127, ca=,0.0436, cr=,0.0452,  1.744057, 
t=,588498, actvstrat=,mBuy=,-0.031, mSel=,+0.013, b=,0.018, m=,0.160, ca=,0.0433, cr=,0.0438,  1.561513, 
t=,617922, actvstrat=,mBuy=,-0.068, mSel=,+0.014, b=,0.021, m=,0.160, ca=,0.0471, cr=,0.0408,  1.556717, 
t=,647346, actvstrat=,mBuy=,-0.082, mSel=,+0.019, b=,0.010, m=,0.158, ca=,0.0456, cr=,0.0442,  1.444478, 
t=,676771, actvstrat=,mBuy=,-0.081, mSel=,+0.047, b=,0.004, m=,0.173, ca=,0.0428, cr=,0.0460,  1.801443, 
t=,706195, actvstrat=,mBuy=,-0.058, mSel=,+0.040, b=,0.000, m=,0.205, ca=,0.0401, cr=,0.0413,  1.726476, 
t=,735619, actvstrat=,mBuy=,-0.067, mSel=,+0.028, b=,0.006, m=,0.206, ca=,0.0438, cr=,0.0423,  1.657172, 
t=,765043, actvstrat=,mBuy=,-0.095, mSel=,+0.020, b=,0.000, m=,0.210, ca=,0.0410, cr=,0.0433,  3.002325, 
t=,794468, actvstrat=,mBuy=,-0.090, mSel=,+0.021, b=,0.017, m=,0.253, ca=,0.0436, cr=,0.0422,  1.526567, 
t=,823892, actvstrat=,mBuy=,-0.043, mSel=,+0.005, b=,0.003, m=,0.198, ca=,0.0474, cr=,0.0428,  1.942786, 
t=,853316, actvstrat=,mBuy=,-0.070, mSel=,+0.037, b=,0.002, m=,0.213, ca=,0.0483, cr=,0.0449,  2.849245, 
t=,882741, actvstrat=,mBuy=,-0.066, mSel=,+0.027, b=,0.003, m=,0.189, ca=,0.0435, cr=,0.0436,  2.289158, 
t=,912165, actvstrat=,mBuy=,-0.105, mSel=,+0.006, b=,0.045, m=,0.174, ca=,0.0428, cr=,0.0392,  1.475014, 
t=,941590, actvstrat=,mBuy=,-0.092, mSel=,+0.000, b=,0.001, m=,0.189, ca=,0.0365, cr=,0.0404,  2.289852, 
t=,971014, actvstrat=,mBuy=,-0.117, mSel=,+0.031, b=,0.000, m=,0.174, ca=,0.0357, cr=,0.0416,  1.494753, 
t=,1000438, actvstrat=,mBuy=,-0.138, mSel=,+0.050, b=,0.002, m=,0.211, ca=,0.0325, cr=,0.0416,  2.765126, 
t=,1029863, actvstrat=,mBuy=,-0.099, mSel=,+0.046, b=,0.001, m=,0.257, ca=,0.0318, cr=,0.0409,  2.067840, 
t=,1059287, actvstrat=,mBuy=,-0.084, mSel=,+0.071, b=,0.004, m=,0.296, ca=,0.0291, cr=,0.0387,  1.899272, 
t=,1088711, actvstrat=,mBuy=,-0.090, mSel=,+0.035, b=,0.000, m=,0.319, ca=,0.0311, cr=,0.0398,  1.487681, 
t=,1118136, actvstrat=,mBuy=,-0.100, mSel=,+0.038, b=,0.004, m=,0.323, ca=,0.0266, cr=,0.0414,  1.854901, 
t=,1147561, actvstrat=,mBuy=,-0.112, mSel=,+0.045, b=,0.000, m=,0.318, ca=,0.0232, cr=,0.0418,  1.544830, 
t=,1176985, actvstrat=,mBuy=,-0.135, mSel=,+0.063, b=,0.030, m=,0.336, ca=,0.0245, cr=,0.0438,  1.484226, 
